part_number,description,color_code,color_name,quantity,image_file
44728,Bracket 1 x 2 - 2 x 2,14,Yellow,20,44728_Yellow.png
4477,Plate 1 x 10,1,Blue,10,4477_Blue.png
4477,Plate 1 x 10,15,White,6,4477_White.png
4488,Plate 2 x 2 with 1 Wheel Pin,7,Light Gray,6,4488_Light_Gray.png
4519,Technic Axle 3,0,Black,3,4519_Black.png
4533,Container Cupboard 2 x 3 x 2 Door,8,Dark Gray,2,4533_Dark_Gray.png
4592,Hinge Control Stick Base,15,White,3,4592_White.png
4593,Hinge Control Stick,0,Black,3,4593_Black.png
4624,Wheel Rim 6.4 x 8,7,Light Gray,20,4624_Light_Gray.png
4716,Technic Worm Gear,0,Black,1,4716_Black.png
4740,Dish 2 x 2 Inverted,0,Black,8,4740_Black.png
48336,Plate 1 x 2 with Handle Type 2,4,Red,4,48336_Red.png
48336,Plate 1 x 2 with Handle Type 2,14,Yellow,20,48336_Yellow.png
48336,Plate 1 x 2 with Handle Type 2,15,White,2,48336_White.png
4865b,Panel 1 x 2 x 1 with Rounded Corners,1,Blue,2,4865b_Blue.png
50950,Slope Brick Curved 3 x 1,0,Black,6,50950_Black.png
50950,Slope Brick Curved 3 x 1,15,White,4,50950_White.png
54200,Slope Brick 31 1 x 1 x 0.667,1,Blue,2,54200_Blue.png
54200,Slope Brick 31 1 x 1 x 0.667,4,Red,4,54200_Red.png
54200,Slope Brick 31 1 x 1 x 0.667,47,Trans Clear,12,54200_Trans_Clear.png
54200,Slope Brick 31 1 x 1 x 0.667,57,Trans Orange,12,54200_Trans_Orange.png
54383,Wing 3 x 6 Right,7,Light Gray,4,54383_Light_Gray.png
54383,Wing 3 x 6 Right,25,Orange,4,54383_Orange.png
54384,Wing 3 x 6 Left,7,Light Gray,4,54384_Light_Gray.png
54384,Wing 3 x 6 Left,25,Orange,4,54384_Orange.png
44302,Hinge Plate 1 x 2 Locking withdual fingers,4,Red,8,44302_Red.png
55013,Technic Axle 8 with Stop,8,Dark Gray,1,55013_Dark_Gray.png
56902,Wheel Rim 8 x 18 with Deep Centre Groove and Peghole,7,Light Gray,12,56902_Light_Gray.png
58119,Electric Power Functions 9V Battery Box,7,Light Gray,1,58119_Light_Gray.png
58120,Electric Power Functions Medium Motor,7,Light Gray,2,58120_Light_Gray.png
