Part,Description,Color ID,Color Name,Couleur RGB,Quantity,BrickLink URL,Found
2436a,Bracket 1 x 2 - 1 x 4 with Square Corners,14,Yellow,#FAC80A,2,https://davidlilien.github.io/images_giant_booster/image-001-018_1753130822.jpg,0
2444,Plate 2 x 2 with Hole and Split Underside Ribs,14,Yellow,#FAC80A,10,https://davidlilien.github.io/images_giant_booster/image-001-019_1753130822.jpg,0
2444,Plate 2 x 2 with Hole and Split Underside Ribs,15,White,#FFFFFF,1,https://davidlilien.github.io/images_giant_booster/image-002-020_1753130822.jpg,0
2450,Plate 3 x 3 without Corner,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-002-021_1753130822.jpg,0
2486,Bar 1 x 8 x 2,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-002-022_1753130822.jpg,0
2508,Plate 1 x 2 with 3L Extension and Towball,14,Yellow,#FAC80A,1,https://davidlilien.github.io/images_giant_booster/image-002-023_1753130822.jpg,0
2540,Plate 1 x 2 with Handle,0,Black,#1B2A34,16,https://davidlilien.github.io/images_giant_booster/image-002-024_1753130822.jpg,0
2540,Plate 1 x 2 with Handle,15,White,#FFFFFF,16,https://davidlilien.github.io/images_giant_booster/image-002-025_1753130822.jpg,0
2555,Tile 1 x 1 with Clip,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-002-026_1753130822.jpg,0
2654,Dish 2 x 2,0,Black,#1B2A34,3,https://davidlilien.github.io/images_giant_booster/image-002-027_1753130822.jpg,0
2780,Technic Pin with Friction and Slots,0,Black,#1B2A34,6,https://davidlilien.github.io/images_giant_booster/image-002-028_1753130822.jpg,0
2926,Plate 1 x 4 with 2 Wheel Pins,0,Black,#1B2A34,9,https://davidlilien.github.io/images_giant_booster/image-002-029_1753130822.jpg,0
3001,Brick 2 x 4,4,Red,#B40000,12,https://davidlilien.github.io/images_giant_booster/image-002-030_1753130822.jpg,0
3001,Brick 2 x 4,14,Yellow,#FAC80A,2,https://davidlilien.github.io/images_giant_booster/image-002-031_1753130822.jpg,0
3001,Brick 2 x 4,15,White,#FFFFFF,1,https://davidlilien.github.io/images_giant_booster/image-002-032_1753130822.jpg,0
3002,Brick 2 x 3,4,Red,#B40000,3,https://davidlilien.github.io/images_giant_booster/image-002-033_1753130822.jpg,0
3002,Brick 2 x 3,14,Yellow,#FAC80A,6,https://davidlilien.github.io/images_giant_booster/image-002-034_1753130822.jpg,0
3003,Brick 2 x 2,4,Red,#B40000,6,https://davidlilien.github.io/images_giant_booster/image-002-035_1753130822.jpg,0
3003,Brick 2 x 2,15,White,#FFFFFF,5,https://davidlilien.github.io/images_giant_booster/image-002-036_1753130822.jpg,0
3003,Brick 2 x 2,25,Orange,#D67923,2,https://davidlilien.github.io/images_giant_booster/image-002-037_1753130822.jpg,0
3004,Brick 1 x 2,1,Blue,#1E5AA8,4,https://davidlilien.github.io/images_giant_booster/image-002-038_1753130822.jpg,0
3004,Brick 1 x 2,4,Red,#B40000,11,https://davidlilien.github.io/images_giant_booster/image-003-039_1753130822.jpg,0
3004,Brick 1 x 2,14,Yellow,#FAC80A,16,https://davidlilien.github.io/images_giant_booster/image-003-040_1753130822.jpg,0
3004,Brick 1 x 2,15,White,#FFFFFF,4,https://davidlilien.github.io/images_giant_booster/image-003-041_1753130822.jpg,0
3005,Brick 1 x 1,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-003-042_1753130822.jpg,0
3009,Brick 1 x 6,4,Red,#B40000,42,https://davidlilien.github.io/images_giant_booster/image-003-043_1753130822.jpg,0
3009,Brick 1 x 6,14,Yellow,#FAC80A,36,https://davidlilien.github.io/images_giant_booster/image-003-044_1753130822.jpg,0
3009,Brick 1 x 6,15,White,#FFFFFF,8,https://davidlilien.github.io/images_giant_booster/image-003-045_1753130822.jpg,0
3009,Brick 1 x 6,25,Orange,#D67923,6,https://davidlilien.github.io/images_giant_booster/image-003-046_1753130822.jpg,0
3009,Brick 1 x 6,26,Magenta,#901F76,8,https://davidlilien.github.io/images_giant_booster/image-003-047_1753130822.jpg,0
3010,Brick 1 x 4,4,Red,#B40000,41,https://davidlilien.github.io/images_giant_booster/image-003-048_1753130822.jpg,0
3010,Brick 1 x 4,5,Dark Pink,#D3359D,15,https://davidlilien.github.io/images_giant_booster/image-003-049_1753130822.jpg,0
3010,Brick 1 x 4,14,Yellow,#FAC80A,22,https://davidlilien.github.io/images_giant_booster/image-003-050_1753130822.jpg,0
3010,Brick 1 x 4,25,Orange,#D67923,24,https://davidlilien.github.io/images_giant_booster/image-003-051_1753130822.jpg,0
3010,Brick 1 x 4,26,Magenta,#901F76,26,https://davidlilien.github.io/images_giant_booster/image-003-052_1753130822.jpg,0
30162,Minifig Binoculars with Round Eyepiece,8,Dark Grey,#6D6E68,4,https://davidlilien.github.io/images_giant_booster/image-003-053_1753130822.jpg,0
3020,Plate 2 x 4,0,Black,#1B2A34,5,https://davidlilien.github.io/images_giant_booster/image-003-054_1753130822.jpg,0
3020,Plate 2 x 4,4,Red,#B40000,30,https://davidlilien.github.io/images_giant_booster/image-003-055_1753130822.jpg,0
3020,Plate 2 x 4,5,Dark Pink,#D3359D,1,https://davidlilien.github.io/images_giant_booster/image-004-056_1753130822.jpg,0
